textblob,time,polyglot,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,nltkDetect,time,whatlang,time,langua
True,0.2,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,False,2.12,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.2,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.75,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.42,True,0.06,True,0.22
True,0.14,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.37,True,0.06,True,0.22
True,0.17,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,4.17,True,0.06,True,0.22
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.68,True,0.06,True,0.22
True,0.17,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.87,True,0.06,True,0.21
True,0.17,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,2.09,True,0.06,True,0.24
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.73,True,0.06,True,0.23
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.95,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.86,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.98,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,False,0.0,True,0.0,True,0.0,True,0.97,True,0.06,True,0.22
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.77,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.86,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.25,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.25,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.79,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.41,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.81,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.84,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.8,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.73,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.77,True,0.06,True,0.2
True,0.17,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.83,True,0.06,True,0.2
True,0.15,True,0.0,True,0.02,True,0.0,True,0.0,True,0.0,True,0.0,False,0.84,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.01,True,0.0,True,0.0,True,2.05,True,0.06,True,0.2
True,0.17,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,3.43,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.95,True,0.16,True,0.43
True,0.15,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.83,True,0.06,True,0.2
True,0.15,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.76,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,1.05,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.96,True,0.06,True,0.2
True,0.14,True,0.0,True,0.02,True,0.0,True,0.0,True,0.0,True,0.0,True,0.58,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.65,True,0.06,True,0.21
True,0.15,True,0.0,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.96,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.27,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.78,True,0.06,True,0.2
True,0.18,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.28,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,1.01,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.09,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.22,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.12,True,0.06,True,0.2
True,0.16,False,0.0,True,0.01,True,0.01,True,0.0,True,0.0,False,0.0,True,2.14,True,0.06,True,0.2
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.72,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.73,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.01,True,0.0,True,0.0,True,1.77,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.21,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.63,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,2.18,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.38,True,0.06,True,0.2
True,0.14,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.27,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.88,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.01,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.69,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.72,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.8,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.5,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.82,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.86,True,0.06,True,0.2
