polyglot,time,langDedect,time,langid,time,fasttext,time
1,0.0003,3,0.0796,0,0.0021,3,0.0002
7,0.0003,3,0.0264,3,0.0027,3,0.0004
3,0.0001,3,0.0583,0,0.0021,3,0.0003
3,0.0001,3,0.0308,3,0.0026,3,0.0003
3,0.0002,3,0.0437,3,0.0029,3,0.0005
7,0.0004,3,0.0534,3,0.0032,3,0.0005
3,0.0001,3,0.0304,3,0.0023,3,0.0003
7,0.0003,3,0.0424,3,0.0026,3,0.0003
7,0.0003,3,0.0305,3,0.0037,3,0.0004
7,0.0002,3,0.0207,3,0.0033,7,0.0004
7,0.0003,3,0.0221,3,0.0023,7,0.0002
1,0.0004,3,0.0541,3,0.0027,1,0.0003
7,0.0002,3,0.0294,3,0.0039,7,0.0005
7,0.0003,3,0.0225,3,0.0026,3,0.0003
3,0.0001,3,0.0267,3,0.0024,7,0.0002
3,0.0001,3,0.0193,3,0.0029,7,0.0003
3,0.0001,3,0.0189,3,0.0024,7,0.0002
2,0.0003,3,0.0261,3,0.0024,7,0.0003
7,0.0002,3,0.0308,3,0.0024,7,0.0002
2,0.0001,1,0.0554,0,0.0023,3,0.0002
3,0.0002,3,0.0205,3,0.0035,7,0.0004
7,0.0002,3,0.0225,3,0.0038,7,0.0005
2,0.0001,3,0.0276,3,0.0023,7,0.0002
7,0.0002,3,0.0227,3,0.0047,7,0.0006
7,0.0003,3,0.0229,3,0.0034,3,0.0004
2,0.0001,3,0.0332,3,0.0023,3,0.0002
7,0.0004,3,0.0294,3,0.0029,3,0.0003
3,0.0001,3,0.0174,3,0.0024,7,0.0002
3,0.0001,3,0.0261,7,0.0021,3,0.0002
1,0.0001,1,0.025,1,0.002,2,0.0002
7,0.0004,3,0.0308,3,0.0089,3,0.0005
3,0.0002,3,0.0242,3,0.003,3,0.0003
3,0.0001,3,0.0445,3,0.0029,3,0.0003
3,0.0002,3,0.0303,3,0.0054,3,0.0007
7,0.0002,3,0.0266,3,0.0037,3,0.0004
1,0.0003,3,0.0352,3,0.0023,3,0.0002
3,0.0002,3,0.0317,3,0.0038,3,0.0005
7,0.0003,3,0.0326,3,0.0033,3,0.0003
3,0.0001,3,0.0288,3,0.0025,3,0.0002
2,0.0001,2,0.0438,7,0.0021,7,0.0002
2,0.0001,3,0.0301,3,0.0107,7,0.0002
7,0.0002,3,0.0246,7,0.0023,7,0.0003
7,0.0001,3,0.0246,3,0.0024,3,0.0003
3,0.0001,3,0.0263,3,0.0024,3,0.0002
7,0.0001,3,0.0331,3,0.0027,3,0.0003
7,0.0001,7,0.0516,7,0.0023,7,0.0002
7,0.0002,3,0.0287,3,0.0044,3,0.0006
7,0.0001,3,0.0247,3,0.0025,7,0.0003
7,0.0002,3,0.0283,3,0.0033,3,0.0004
3,0.0002,3,0.0205,3,0.003,3,0.0003
3,0.0002,3,0.0202,3,0.0029,3,0.0004
3,0.0001,3,0.0173,3,0.0021,3,0.0002
3,0.0001,3,0.0153,3,0.0025,3,0.0003
3,0.0002,3,0.0208,3,0.0033,3,0.0004
3,0.0001,3,0.0269,3,0.002,3,0.0002
3,0.0002,3,0.0263,3,0.004,3,0.0006
3,0.0001,3,0.0158,3,0.0023,3,0.0002
3,0.0002,3,0.0237,3,0.0038,3,0.0005
3,0.0002,3,0.0208,3,0.0034,3,0.0004
7,0.0001,3,0.0274,3,0.0025,7,0.0002
3,0.0001,3,0.0241,3,0.0026,7,0.0002
1,0.0003,3,0.0423,3,0.0022,3,0.0002
3,0.0002,3,0.0378,3,0.0048,7,0.0007
7,0.0002,3,0.0285,3,0.0038,3,0.0005
7,0.0003,3,0.0294,3,0.0028,7,0.0003
2,0.0003,3,0.0204,3,0.0024,3,0.0002
1,0.0001,1,0.0224,2,0.006,7,0.0003
2,0.0002,3,0.0449,3,0.0026,7,0.0003
7,0.0003,3,0.0293,3,0.0026,7,0.0003
3,0.0002,3,0.0263,3,0.0038,3,0.0006
3,0.0003,3,0.0251,3,0.0025,3,0.0003
3,0.0002,3,0.0381,3,0.0033,3,0.0004
7,0.0001,3,0.031,3,0.0024,3,0.0003
2,0.0001,3,0.0413,3,0.0025,3,0.0003
3,0.0002,3,0.0348,3,0.0027,3,0.0004
0,0.0002,3,0.0216,3,0.0023,3,0.0003
3,0.0002,3,0.0337,3,0.0038,3,0.0006
3,0.0001,3,0.0425,3,0.0025,3,0.0003
3,0.0002,3,0.0302,3,0.0043,3,0.0008
7,0.0003,3,0.0303,3,0.0026,3,0.0004
7,0.0002,3,0.0357,3,0.0032,3,0.0005
7,0.0004,3,0.0842,3,0.0024,3,0.0003
3,0.0001,3,0.0243,3,0.0024,3,0.0003
3,0.0001,3,0.0547,3,0.0023,3,0.0003
1,0.0003,2,0.0777,2,0.0117,3,0.0003
7,0.0002,3,0.0418,3,0.0029,3,0.0004
1,0.0001,1,0.0174,1,0.0025,1,0.0003
3,0.0002,3,0.0398,3,0.0036,3,0.0006
3,0.0001,3,0.0432,3,0.0025,3,0.0003
7,0.0001,3,0.0196,3,0.0024,7,0.0003
7,0.0001,3,0.0178,3,0.0024,7,0.0002
1,0.0003,0,0.0443,0,0.002,1,0.0002
3,0.0001,3,0.0246,7,0.0021,7,0.0002
3,0.0002,3,0.0213,3,0.0021,7,0.0002
7,0.0003,3,0.0231,3,0.003,7,0.0004
7,0.0001,3,0.0268,3,0.0028,7,0.0003
3,0.0003,3,0.0222,3,0.0022,7,0.0002
3,0.0003,3,0.0218,3,0.008,7,0.0002
7,0.0004,3,0.0288,3,0.0036,7,0.0005
7,0.0002,3,0.0256,3,0.0029,7,0.0003
7,0.0003,3,0.02,3,0.0027,7,0.0003
7,0.0002,3,0.0246,3,0.0034,7,0.0004
7,0.0003,3,0.029,3,0.0025,7,0.0002
7,0.0001,3,0.0226,3,0.0029,7,0.0003
7,0.0001,3,0.021,3,0.0027,7,0.0003
7,0.0002,3,0.0272,3,0.0048,7,0.0006
7,0.0002,3,0.0289,3,0.0042,7,0.0006
3,0.0002,3,0.0227,3,0.0043,7,0.0005
7,0.0002,3,0.0236,3,0.0048,7,0.0006
7,0.0003,3,0.0282,3,0.0029,3,0.0003
2,0.0004,3,0.0375,3,0.0027,3,0.0003
3,0.0001,3,0.0424,3,0.0023,7,0.0002
3,0.0001,3,0.0425,3,0.0023,3,0.0002
7,0.0003,3,0.0215,3,0.0025,3,0.0002
7,0.0003,3,0.0214,3,0.0031,3,0.0004
2,0.0004,3,0.0326,3,0.0027,3,0.0003
7,0.0003,3,0.0281,3,0.0031,3,0.0004
1,0.0003,3,0.0246,3,0.0023,3,0.0002
7,0.0003,3,0.023,3,0.0033,3,0.0003
7,0.0001,3,0.0295,3,0.0026,3,0.0003
2,0.0001,3,0.028,3,0.0024,7,0.0002
7,0.0003,3,0.028,3,0.0053,3,0.0004
3,0.0002,3,0.035,3,0.003,3,0.0004
3,0.0002,3,0.0267,3,0.0092,7,0.0004
7,0.0003,3,0.0241,3,0.0027,3,0.0003
2,0.0001,3,0.0331,7,0.0023,3,0.0002
7,0.0003,3,0.0297,3,0.0027,3,0.0003
2,0.0003,3,0.0272,3,0.0022,7,0.0002
2,0.0003,7,0.0442,7,0.0023,7,0.0002
3,0.0001,3,0.0198,3,0.0028,3,0.0003
3,0.0001,3,0.0165,3,0.0025,3,0.0002
3,0.0001,3,0.0186,3,0.0022,7,0.0002
3,0.0001,3,0.0164,3,0.004,3,0.0003
3,0.0001,3,0.0172,3,0.0028,3,0.0002
3,0.0002,3,0.0188,3,0.0034,7,0.0004
3,0.0001,3,0.0261,3,0.0029,7,0.0004
1,0.0001,1,0.0257,2,0.0018,1,0.0002
3,0.0001,3,0.0256,3,0.0021,7,0.0002
3,0.0001,3,0.0213,3,0.0025,7,0.0003
3,0.0001,3,0.0198,3,0.0021,3,0.0002
3,0.0001,3,0.0227,3,0.0024,3,0.0003
3,0.0002,3,0.0287,3,0.0043,3,0.0007
3,0.0001,3,0.0351,3,0.0026,3,0.0003
3,0.0001,3,0.0326,3,0.0033,3,0.0004
3,0.0001,1,0.1064,0,0.002,3,0.0002
3,0.0001,3,0.0221,3,0.0024,3,0.0003
0,0.0001,3,0.0594,1,0.0021,3,0.0002
7,0.0001,3,0.0405,3,0.0026,3,0.0004
0,0.0001,0,0.1053,1,0.0021,3,0.0002
3,0.0001,3,0.0409,3,0.002,3,0.0002
1,0.0003,3,0.0604,3,0.0021,1,0.0002
